school_id,requested,inProgress,completed
archwood,Main office renovation | Air conditioning installation | DDC system | Office renovation completion | Flooring and hallway wall refinishing | Classrooms renovation | Library flooring | Music room renovation | Room 10 renovation | Kitchen redesign | Renovate Staff Room | Student and Staff Washroom Renovation | Repaint and new lighting in Front Foyer | Replace Rear Door and Frame,,Community kitchen electrical upgrades | Kitchen island addition | Cupboards | Gym girls change room modification | Bottle filling station addition | Boys change room renewal | Replace Public Address System | Repair of cracks in Terrazo floor | Installed Portable Air Conditioning units | Fence installation | Design Concept of all washrooms
beliveau,Gender-neutral washroom | DDC system | Air Make Up unit | Gym office spaces | Staff washroom renovation | Windows replacement | Blackboards removal | Flooring and ceiling | Office area redesign | Canteen shutter door lock relocation | Parking lot and staircase repair | Lockers | Washrooms renovation | Long Jump Pit and Track Extension,"Lighting in science wing, library, and Grade 7/8 classrooms",Removal of raised teachers desks | Refinish gym floor | Concrete stairs repair | Door & frame replacement | Lighting Upgrade in the north section and second floor
cjs,"Renovate Room 104 to create Home Ecology Classroom | Replace Gym Floor | Replace Gym Bleachers | Repaint Gym | School field redevelopment | Girls' washroom renovation | Domestic piping replacement in crawlspace | Lighting upgrade in all classrooms, hallways, and gymnasium | Elevator or lift for mezzanine access and replace railing | Accessible door operators for washrooms and southeast parking lot door | Bike Cage | Renovate Boy's Change Room",,Exterior level landing for cafeteria doors | Library flooring replacement | Hallways and door trims repainting | Design Concept plan for School Field Redevelopment | Gymnasium floor refinishing
dakota,Washroom reconfigurations to gender-neutral | Atrium | Accessible gymnasium door | Kitchen | Art room ceiling | Shower stalls removal from change rooms | Lighting upgrade in entire school | DDC system | Automotive shop upgrade | Locking hardware replacement | Electrical outlets in Electronics | Door replacements | Indigenous student spaces | Individualized programming students spaces | Guitar room soundproofing,,Flooring replacement | Asphalt repair | Reverse Door from Gymnasium to Fitness room
darwin,Dark room removal | Flooring replacement | Windows replacement | Foods and nutrition lab renovation | Universal washrooms to meet current accessibility standards* | Additional Parking spots,,Flooring removal & tile installation | Lighting upgrade in Office | Build demising wall between Room 8 and 9
drdwpenner,Lighting upgrade | Upgrade staff work stations | Staff room renovation | Flooring replacement | Washrooms partitions replacement,,"Paving of parking lot | Install Bottle Filling Station | Removed boot racks and installed lockers in the north east and north west entrances | Renovated Principal's and Vice Principal's Office, Create Copier Room | LRTA office reconfiguration into classroom"
ecolegeorgemcdowell,Library flooring replacement | Pave existing gravel parking lot | Flooring replacement | Washroom countertops replacement | Ceiling tiles replacement | Soundproofing in guitar room | Universal washrooms to meet current accessibility standards* | Replace hallway lighting | Pave the hardsurface play area | Renovate Staff Washrooms,,Classroom window replacements (Rms. 11-20) | Flooring removal & tile installation (Rm. 15) | Classrooms (2) and hallway flooring | Replaced flooring in Library
ecoleguyot,Staff room renovation | Gender-neutral washroom | Library flooring | Boys' washroom renovation | DDC system | Universal washroom renovations planned for south side of school (summer 2026),,Replaced PA System | Flooring replacement | Acoustic material removal | Door & frame replacement | Video Intercom system relocation | Electrical outlet installation
ecolehenribergeron,DDC system | Main office renovations | Staff room renovation | Student washrooms renovations | Phys-ed office shower | Lighting and ceiling tiles upgrade | Tectum installation in gymnasium | Replace Flooring in Change Room | New curtain for Gym | Create Office in Student Services Room,,Privacy curtains (shower & changerooms) | Window replacements | Flooring removal | Entrance concrete landing replacement | Replaced Public Address System | Soundproofing of Music Room | Build storage cage for guitars | Installed 100 lockers
ecolehowden,"Redesign classroom 1, 2 and 3 to create two large Kindergarten classroom with washrooms | Student washrooms renovation | Flooring replacement | Window replacement | Doors and frames replacement | Bulkhead construction | Bottle filling station | DDC system | Lighting upgrades | Repave hard surface play area",,Floor tile replacement | Intercom system replacement | Storage cabinet installation | Whiteboard relocation | Shelving installation | Bottle filling station addition | Old water fountains removal | Student services office | Window replacement on the north side of the south hallway | Installed Portable Air Conditioning units
ecolejulieriel,Windows replacement | Staff room renovation | Full Height Cabinet installations in Room 9-12 | Flooring replacement | Air Make Up unit | Boiler replacement | Washrooms renovation | Outdoor storage | Washer and dryer | Upgrade lighting,,Flooring replaced with tile | Replaced flooring in Room 11
